shape_id,shape_pt_sequence,stop_id,stop_lat,stop_lon,stop_name_y,lonlat,geometry
B630156,10001,301721.0,40.612681,-74.035895,3 AV/SHORE RD,"(-74.035895, 40.612681)",POINT (-74.035895 40.612681)
B630156,10001,306619.0,40.612256,-74.035884,SHORE RD/3 AV,"(-74.035884, 40.612256)",POINT (-74.035884 40.612256)
B630156,10001,801042.0,40.612311,-74.035981,SHORE RD/3 AV,"(-74.035981, 40.612311)",POINT (-74.03598100000001 40.612311)
B630156,10003,301602.0,40.611761,-74.03511999999998,SHORE RD/4 AV,"(-74.03511999999998, 40.611761)",POINT (-74.03511999999998 40.611761)
B630156,10003,308640.0,40.611842,-74.035202,SHORE RD/4 AV,"(-74.035202, 40.611842)",POINT (-74.035202 40.611842)
B630156,10003,901024.0,40.611763,-74.035126,4TH AV/SHORE RD,"(-74.035126, 40.611763)",POINT (-74.03512600000001 40.611763)
B630156,10003,901445.0,40.611716,-74.035076,SHORE RD/4 AV,"(-74.035076, 40.611716)",POINT (-74.035076 40.611716)
B630156,10010,301725.0,40.612591,-74.033902,4 AV/100 ST,"(-74.033902, 40.612591)",POINT (-74.033902 40.612591)
B630156,10010,305334.0,40.612914,-74.033455,4 AV/100 ST,"(-74.033455, 40.612914)",POINT (-74.033455 40.612914)
B630156,20002,301724.0,40.613509,-74.03312,4 AV/99 ST,"(-74.03312, 40.613509)",POINT (-74.03312 40.613509)
B630156,20004,301723.0,40.614019,-74.032866,MARINE AV/4 AV,"(-74.032866, 40.614019)",POINT (-74.032866 40.614019)
B630156,20004,305335.0,40.614236,-74.03230500000002,4 AV/MARINE AV,"(-74.03230500000002, 40.614236)",POINT (-74.03230500000002 40.614236)
B630156,20004,306945.0,40.614527,-74.03233,4 AV/97 ST,"(-74.03233, 40.614527)",POINT (-74.03233 40.614527)
B630156,30007,308130.0,40.615941,-74.030883,5 AV/95 ST,"(-74.030883, 40.615941)",POINT (-74.030883 40.615941)
B630156,40004,306783.0,40.617651,-74.029605,5 AV/92 ST,"(-74.029605, 40.617651)",POINT (-74.029605 40.617651)
B630156,40006,305338.0,40.618115,-74.029021,5 AV/92 ST,"(-74.029021, 40.618115)",POINT (-74.029021 40.618115)
B630156,50005,308423.0,40.619282,-74.028204,5 AV/89 ST,"(-74.028204, 40.619282)",POINT (-74.028204 40.619282)
B630156,50006,308418.0,40.619974,-74.02743000000002,5 AV/89 ST,"(-74.02743000000002, 40.619974)",POINT (-74.02743000000002 40.619974)
B630156,60004,301615.0,40.621293,-74.026112,86 ST/5 AV,"(-74.026112, 40.621293)",POINT (-74.026112 40.621293)
B630156,60004,301707.0,40.621637,-74.026347,86 ST/5 AV,"(-74.026347, 40.621637)",POINT (-74.026347 40.621637)
B630156,60004,305460.0,40.621449,-74.026438,5 AV/86 ST,"(-74.026438, 40.621449)",POINT (-74.026438 40.621449)
B630156,60005,305341.0,40.62175300000001,-74.0259,5 AV/86 ST,"(-74.0259, 40.62175300000001)",POINT (-74.02589999999999 40.62175300000001)
B630156,70002,308422.0,40.622587,-74.025544,5 AV/84 ST,"(-74.025544, 40.622587)",POINT (-74.025544 40.622587)
B630156,70005,308419.0,40.623896,-74.024834,5 AV/83 ST,"(-74.024834, 40.623896)",POINT (-74.024834 40.623896)
B630156,80002,305458.0,40.624786,-74.024647,5 AV/81 ST,"(-74.024647, 40.624786)",POINT (-74.024647 40.624786)
B630156,90002,305344.0,40.626054,-74.02395600000001,5 AV/80 ST,"(-74.02395600000001, 40.626054)",POINT (-74.02395600000001 40.626054)
B630156,90002,308421.0,40.626979,-74.02375500000002,5 AV/78 ST,"(-74.02375500000002, 40.626979)",POINT (-74.02375500000002 40.626979)
B630156,90005,308420.0,40.628283,-74.023049,5 AV/77 ST,"(-74.023049, 40.628283)",POINT (-74.023049 40.628283)
B630156,100003,300290.0,40.629496,-74.022812,BAY RIDGE PY/5 AV,"(-74.022812, 40.629496)",POINT (-74.022812 40.629496)
B630156,100003,300409.0,40.629463,-74.02245500000002,BAY RIDGE PY/5 AV,"(-74.02245500000002, 40.629463)",POINT (-74.02245500000002 40.629463)
B630156,100003,305346.0,40.629815,-74.022412,5 AV/BAY RIDGE PY,"(-74.022412, 40.629815)",POINT (-74.022412 40.629815)
B630156,100003,305455.0,40.6292,-74.022848,5 AV/BAY RIDGE PY,"(-74.022848, 40.6292)",POINT (-74.022848 40.6292)
B630156,110004,308340.0,40.631418,-74.021937,5 AV/72 ST,"(-74.021937, 40.631418)",POINT (-74.02193699999999 40.631418)
B630156,110005,308324.0,40.632002,-74.021519,5 AV/72 ST,"(-74.021519, 40.632002)",POINT (-74.021519 40.632002)
B630156,120003,300077.0,40.633496,-74.02121,BAY RIDGE AV/5 AV,"(-74.02121, 40.633496)",POINT (-74.02121 40.633496)
B630156,120003,305453.0,40.633191,-74.02121700000002,5 AV/BAY RIDGE AV,"(-74.02121700000002, 40.633191)",POINT (-74.02121700000002 40.633191)
B630156,120004,300062.0,40.633457,-74.020864,BAY RIDGE AV/5 AV,"(-74.020864, 40.633457)",POINT (-74.020864 40.633457)
B630156,120004,305348.0,40.633754,-74.020803,5 AV/Bay Ridge AV,"(-74.020803, 40.633754)",POINT (-74.020803 40.633754)
B630156,130002,305452.0,40.634687,-74.02059799999998,5 AV/SENATOR ST,"(-74.02059799999998, 40.634687)",POINT (-74.02059799999998 40.634687)
B630156,130005,305349.0,40.63500300000001,-74.02029499999998,5 AV/SENATOR ST,"(-74.02029499999998, 40.63500300000001)",POINT (-74.02029499999998 40.63500300000001)
B630156,130005,305451.0,40.635854,-74.02004699999998,5 AV/66 ST,"(-74.02004699999998, 40.635854)",POINT (-74.02004699999998 40.635854)
B630156,140005,305350.0,40.636271,-74.019391,5 AV/66 ST,"(-74.019391, 40.636271)",POINT (-74.019391 40.636271)
B630156,140005,805036.0,40.636916,-74.01949599999998,Gowanus Exp./63 St. (S.B.),"(-74.01949599999998, 40.636916)",POINT (-74.01949599999998 40.636916)
B630156,150007,308339.0,40.63757800000001,-74.018242,5 AV/63 ST,"(-74.018242, 40.63757800000001)",POINT (-74.018242 40.63757800000001)
B630156,150009,308325.0,40.637957,-74.01764399999998,5 AV/63 ST,"(-74.01764399999998, 40.637957)",POINT (-74.01764399999998 40.637957)
B630156,160005,307073.0,40.639735,-74.016459,60 ST/5 AV,"(-74.016459, 40.639735)",POINT (-74.016459 40.639735)
B630156,160005,308338.0,40.639269,-74.016488,5 AV/60 ST,"(-74.016488, 40.639269)",POINT (-74.016488 40.639269)
B630156,160007,300927.0,40.639261,-74.015951,60 ST/5 AV,"(-74.015951, 40.639261)",POINT (-74.015951 40.639261)
B630156,160007,305353.0,40.639689,-74.015843,5 AV/60 ST,"(-74.015843, 40.639689)",POINT (-74.015843 40.639689)
B630156,170002,305447.0,40.64049,-74.015167,5 AV/58 ST,"(-74.015167, 40.64049)",POINT (-74.01516700000001 40.64049)
B630156,170004,305446.0,40.641555,-74.014114,5 AV/56 ST,"(-74.014114, 40.641555)",POINT (-74.01411400000001 40.641555)
B630156,170004,308326.0,40.641361,-74.01411,5 AV/57 ST,"(-74.01411, 40.641361)",POINT (-74.01411 40.641361)
B630156,180005,305445.0,40.643233,-74.012374,5 AV/53 ST,"(-74.012374, 40.643233)",POINT (-74.01237399999999 40.643233)
B630156,180005,308327.0,40.643074,-74.01231999999997,5 AV/54 ST,"(-74.01231999999997, 40.643074)",POINT (-74.01231999999997 40.643074)
B630156,190004,305357.0,40.644183,-74.011174,5 AV/52 ST,"(-74.011174, 40.644183)",POINT (-74.011174 40.644183)
B630156,200002,305443.0,40.644913,-74.010623,5 AV/50 ST,"(-74.010623, 40.644913)",POINT (-74.010623 40.644913)
B630156,200002,306581.0,40.644861,-74.010021,50 ST/5 AV,"(-74.010021, 40.644861)",POINT (-74.01002099999999 40.644861)
B630156,200004,305358.0,40.645297,-74.010014,5 AV/50 ST,"(-74.010014, 40.645297)",POINT (-74.010014 40.645297)
B630156,200004,306583.0,40.645904,-74.010039,49 ST/5 AV,"(-74.010039, 40.645904)",POINT (-74.01003900000001 40.645904)
B630156,210004,305442.0,40.646033,-74.009466,5 AV/48 ST,"(-74.009466, 40.646033)",POINT (-74.009466 40.646033)
B630156,210005,308328.0,40.646969,-74.008263,5 AV/47 ST,"(-74.008263, 40.646969)",POINT (-74.008263 40.646969)
B630156,220002,308337.0,40.647691,-74.007733,5 AV/45 ST,"(-74.007733, 40.647691)",POINT (-74.007733 40.647691)
B630156,220004,305361.0,40.648651,-74.00651500000002,5 AV/44 ST,"(-74.00651500000002, 40.648651)",POINT (-74.00651500000002 40.648651)
B630156,230003,305439.0,40.649382,-74.005971,5 AV/42 ST,"(-74.005971, 40.649382)",POINT (-74.005971 40.649382)
B630156,230007,305362.0,40.650345,-74.004764,5 AV/41 ST,"(-74.004764, 40.650345)",POINT (-74.00476399999999 40.650345)
B630156,240004,302781.0,40.651232,-74.003752,39 ST/5 AV,"(-74.003752, 40.651232)",POINT (-74.00375200000001 40.651232)
B630156,240004,305363.0,40.651479,-74.003571,5 AV/39 ST,"(-74.003571, 40.651479)",POINT (-74.00357099999999 40.651479)
B630156,250005,305364.0,40.65281,-74.00216999999998,5 AV/36 ST,"(-74.00216999999998, 40.65281)",POINT (-74.00216999999998 40.65281)
B630156,260006,305365.0,40.654298,-74.00064499999998,5 AV/34 ST,"(-74.00064499999998, 40.654298)",POINT (-74.00064499999998 40.654298)
B630156,260006,308336.0,40.654416,-74.00073499999998,5 AV/33 ST,"(-74.00073499999998, 40.654416)",POINT (-74.00073499999998 40.654416)
B630156,270005,305367.0,40.656546,-73.998313,5 AV/30 ST,"(-73.998313, 40.656546)",POINT (-73.998313 40.656546)
B630156,270005,305434.0,40.656093,-73.998994,5 AV/30 ST,"(-73.998994, 40.656093)",POINT (-73.998994 40.656093)
B630156,280005,305432.0,40.658332,-73.996663,5 AV/26 ST,"(-73.996663, 40.658332)",POINT (-73.996663 40.658332)
B630156,290002,305431.0,40.659502,-73.99544399999998,5 AV/24 ST,"(-73.99544399999998, 40.659502)",POINT (-73.99544399999998 40.659502)
B630156,290004,305370.0,40.659836,-73.99487099999997,5 AV/24 ST,"(-73.99487099999997, 40.659836)",POINT (-73.99487099999997 40.659836)
B630156,300005,308331.0,40.661533,-73.993101,5 AV/21 ST,"(-73.993101, 40.661533)",POINT (-73.993101 40.661533)
B630156,300005,308335.0,40.661137,-73.99376099999998,5 AV/21 ST,"(-73.99376099999998, 40.661137)",POINT (-73.99376099999998 40.661137)
B630156,310003,305428.0,40.662385,-73.992373,5 AV/18 ST,"(-73.992373, 40.662385)",POINT (-73.992373 40.662385)
B630156,310004,305373.0,40.663243,-73.991377,5 AV/18 ST,"(-73.991377, 40.663243)",POINT (-73.991377 40.663243)
B630156,320005,305427.0,40.664173,-73.990499,5 AV/PROSPECT AV,"(-73.990499, 40.664173)",POINT (-73.990499 40.664173)
B630156,320005,308332.0,40.664135,-73.990452,5 AV/PROSPECT AV,"(-73.990452, 40.664135)",POINT (-73.990452 40.664135)
B630156,330003,305426.0,40.665348,-73.989615,5 AV/15 ST,"(-73.989615, 40.665348)",POINT (-73.989615 40.665348)
B630156,330004,308333.0,40.666231,-73.988559,5 AV/14 ST,"(-73.988559, 40.666231)",POINT (-73.988559 40.666231)
B630156,340005,305377.0,40.668191,-73.987012,5 AV/11 ST,"(-73.987012, 40.668191)",POINT (-73.98701199999999 40.668191)
B630156,350002,305423.0,40.66891,-73.986637,5 AV/9 ST,"(-73.986637, 40.66891)",POINT (-73.986637 40.66891)
B630156,350003,306021.0,40.669432,-73.986637,9 ST/5 AV,"(-73.986637, 40.669432)",POINT (-73.986637 40.669432)
B630156,360002,308204.0,40.669431,-73.98597,5 AV/9 ST,"(-73.98597, 40.669431)",POINT (-73.98596999999999 40.669431)
B630156,360003,308206.0,40.67057,-73.985025,5 AV/7 ST,"(-73.985025, 40.67057)",POINT (-73.98502499999999 40.67057)
B630156,360003,308217.0,40.67017,-73.985584,5 AV/7 ST,"(-73.985584, 40.67017)",POINT (-73.985584 40.67017)
B630156,370003,307833.0,40.671355,-73.984596,5 AV/5 ST,"(-73.984596, 40.671355)",POINT (-73.984596 40.671355)
B630156,380002,308216.0,40.672566,-73.983583,5 AV/3 ST,"(-73.983583, 40.672566)",POINT (-73.983583 40.672566)
B630156,390002,308207.0,40.673007,-73.982988,5 AV/3 ST,"(-73.982988, 40.673007)",POINT (-73.98298800000001 40.673007)
B630156,390004,308208.0,40.674824,-73.981473,5 AV/GARFIELD PL,"(-73.981473, 40.674824)",POINT (-73.98147299999999 40.674824)
B630156,400004,308209.0,40.676682,-73.98019000000002,5 AV/UNION ST,"(-73.98019000000002, 40.676682)",POINT (-73.98019000000002 40.676682)
B630156,400004,308214.0,40.67615,-73.980723,5 AV/UNION ST,"(-73.980723, 40.67615)",POINT (-73.980723 40.67615)
B630156,410005,308213.0,40.678052,-73.979439,5 AV/DOUGLASS ST,"(-73.979439, 40.678052)",POINT (-73.979439 40.678052)
B630156,410007,308210.0,40.678656,-73.978851,5 AV/ST JOHNS PL,"(-73.978851, 40.678656)",POINT (-73.97885100000001 40.678656)
B630156,420002,308212.0,40.679965,-73.978144,5 AV/WARREN ST,"(-73.978144, 40.679965)",POINT (-73.978144 40.679965)
B630156,420007,308211.0,40.680557,-73.97756700000002,5 AV/PROSPECT PL,"(-73.97756700000002, 40.680557)",POINT (-73.97756700000002 40.680557)
B630156,430004,305388.0,40.68190900000001,-73.976651,5 AV/BERGEN ST,"(-73.976651, 40.68190900000001)",POINT (-73.976651 40.68190900000001)
B630156,430004,305413.0,40.681882,-73.976787,5 AV/DEAN ST,"(-73.976787, 40.681882)",POINT (-73.976787 40.681882)
B630156,430004,305608.0,40.681477,-73.97688199999997,BERGEN ST/5 AV,"(-73.97688199999997, 40.681477)",POINT (-73.97688199999997 40.681477)
B630156,440002,303296.0,40.682509,-73.976463,FLATBUSH AV/5 AV,"(-73.976463, 40.682509)",POINT (-73.976463 40.682509)
B630156,440002,305561.0,40.682133,-73.976759,DEAN ST/5 AV,"(-73.976759, 40.682133)",POINT (-73.976759 40.682133)
B630156,440002,901500.0,40.682143,-73.976137,FLATBUSH AV/DEAN ST,"(-73.976137, 40.682143)",POINT (-73.97613699999999 40.682143)
B630156,440005,308536.0,40.683966,-73.97748299999998,FLATBUSH AV/ATLANTIC AV,"(-73.97748299999998, 40.683966)",POINT (-73.97748299999998 40.683966)
B630156,440006,303254.0,40.68477100000001,-73.977818,FLATBUSH AV/ATLANTIC AV,"(-73.977818, 40.68477100000001)",POINT (-73.977818 40.68477100000001)
B630156,440006,303295.0,40.684187,-73.977626,FLATBUSH AV/ATLANTIC AV,"(-73.977626, 40.684187)",POINT (-73.977626 40.684187)
B630156,440007,305412.0,40.684422,-73.978557,ATLANTIC AV/4 AV,"(-73.978557, 40.684422)",POINT (-73.978557 40.684422)
B630156,440007,307540.0,40.684576,-73.978665,ATLANTIC AV/4 AV,"(-73.978665, 40.684576)",POINT (-73.97866500000001 40.684576)
B630156,450004,305411.0,40.685314,-73.980912,ATLANTIC AV/3 AV,"(-73.980912, 40.685314)",POINT (-73.980912 40.685314)
B630156,450006,308323.0,40.68554,-73.98100500000002,ATLANTIC AV/3 AV,"(-73.98100500000002, 40.68554)",POINT (-73.98100500000002 40.68554)
B630156,460004,305410.0,40.68592,-73.982507,ATLANTIC AV/NEVINS ST,"(-73.982507, 40.68592)",POINT (-73.982507 40.68592)
B630156,460006,305392.0,40.686331,-73.983042,ATLANTIC AV/NEVINS ST,"(-73.983042, 40.686331)",POINT (-73.983042 40.686331)
B630156,470003,305409.0,40.686734,-73.984586,ATLANTIC AV/BOND ST,"(-73.984586, 40.686734)",POINT (-73.98458599999999 40.686734)
B630156,470004,305393.0,40.687143,-73.985137,ATLANTIC AV/BOND ST,"(-73.985137, 40.687143)",POINT (-73.98513699999999 40.687143)
B630156,480002,305408.0,40.687563,-73.986727,ATLANTIC AV/HOYT ST,"(-73.986727, 40.687563)",POINT (-73.986727 40.687563)
B630156,490002,305407.0,40.688371,-73.988811,ATLANTIC AV/SMITH ST,"(-73.988811, 40.688371)",POINT (-73.988811 40.688371)
B630156,490002,307010.0,40.68878,-73.98898,SMITH ST/ATLANTIC AV,"(-73.98898, 40.68878)",POINT (-73.98898 40.68878)
B630156,490003,305395.0,40.68881500000001,-73.989478,ATLANTIC AV/SMITH ST,"(-73.989478, 40.68881500000001)",POINT (-73.98947800000001 40.68881500000001)
B630156,500005,305396.0,40.68927100000001,-73.991016,ATLANTIC AV/BOERUM PL,"(-73.991016, 40.68927100000001)",POINT (-73.991016 40.68927100000001)
B630156,510004,305112.0,40.689565,-73.992204,ATLANTIC AV/COURT ST,"(-73.992204, 40.689565)",POINT (-73.992204 40.689565)
B630156,510004,305215.0,40.689856,-73.992366,COURT ST/ATLANTIC AV,"(-73.992366, 40.689856)",POINT (-73.992366 40.689856)
